작업담당부서,원본파일,NO.,전체NO.,기업명,특이사항,사업자등록번호,대표자명,설립일자,업종,상시종업원수,사업장 주소,총자산,,,자기자본,,,매출액,,,영업이익,,,당기순이익,,,자기자본 전액 잠식 여부,"바사등급, 최종등급 수준",특허건수,지원사업,1. 금융테스트베드 비용지원,,,,,,,2. D-테스트베드,,,,,,,3. 책임보험료,,,,,,,4. 핀테크보안,,,,,,,5. 금융클라우드,,,,,,,6. 핀테크 멘토링,,,,,,,7. 큐브(업무공간제공),,,,,,,8. 디지털 금융기술 내재화,,,,,,,9. 해외 진출 컨설팅,,,,,,,10. 해외진출 특화 프로그램(전시),,,,,,,11. 일자리 매칭지원,,,,,,,12. 핀테크 인턴십,,,,,,,13. 지방 핀테크기업 입주지원,,,,,,
,,,,,,,,,,,,2022년,2023년,2024년,2022년,2023년,2024년,2022년,2023년,2024년,2022년,2023년,2024년,2022년,2023년,2024년,,,,,2019,2020,2021,2022,2023,2024,2025,2019,2020,2021,2022,2023,2024,2025,2019,2020,2021,2022,2023,2024,2025,2019,2020,2021,2022,2023,2024,2025,2019,2020,2021,2022,2023,2024,2025,2019,2020,2021,2022,2023,2024,2025,2019,2020,2021,2022,2023,2024,2025,2019,2020,2021,2022,2023,2024,2025,2019,2020,2021,2022,2023,2024,2025,2019,2020,2021,2022,2023,2024,2025,2019,2020,2021,2022,2023,2024,2025,2019,2020,2021,2022,2023,2024,2025,2019,2020,2021,2022,2023,2024,2025
창업지원부,편람_2025,20,1,(주)디사일로,,320-88-01589,이승명,2020-02-26,응용 소프트웨어 개발 및 공급업,22,"서울특별시 서초구 서운로 1386층(서초동, 서초동아타워)","4,927","2,657","4,783","3,424","1,099","3,154",90,29,857,"-2,539","-4,004","-4,572","2,442","-4,025","-4,552", - ,E2, - ,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,21,2,(주)투이컨설팅,,116-81-55115,-,1996-03-16,응용 소프트웨어 개발 및 공급업,67,"서울 영등포구 의사당대로 8 (여의도동,여의도삼환까뮤빌딩)","13,295","13,188","2,478","8,750","9,270","8,167","18,486","18,149","14,646","1,291",810,"-1,540","1,157",879,"-1,103", - ,E2, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,22,3,페이업(주),,674-88-00508,문병래,2016-10-19,그 외 기타 금융 지원 서비스업,20,"서울특별시 강남구 선릉로131길 9 , 5층(논현동, 하나빌딩)","4,612","6,739","7,748",37,39,21,"4,502","6,706","6,895",-189,-241,-44,-131, - ,-18, - ,E8, - ,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,23,4,(주)코인트래빗,,872-88-00742,이종선,2017-05-18,컴퓨터 프로그래밍 서비스업,11,경기 성남시 수정구 대왕판교로 815 제2판교테크노밸리 기업지원허브 혁신기술존 4층 463호,578,709,913,40,201,-138,612,776,592,32,-328,-309,16,-341,-339,자기자본 전액 잠식 & 당기순이익 연속 2개년 부,E8,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,24,5,(주)이디피랩,"기업신용조회회사인 신보가 일정 비율 이상 투자한 기업의 신용등급을 생성하는 행위는 법으로 금지되어 있습니다. (신용정보법 제22조의6)
이에 따라 해당 기업의 BASA 등급은 제공되지 않으며, 필요시 다른 신용평가사의 등급을 참고해주시기 바랍니다.",645-87-01574,-,-,-,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,13,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,,,,,,,,,,,
창업지원부,편람_2025,25,6,(주)지오라인,,134-87-25931,-,2014-05-22,기타 무선 통신장비 제조업,2,"제주특별자치도 제주시 첨단로 330 (영평동), 3층 카이스트 친환경스마트자동차연구센터 디동 케이엠브이9","1,631","1,607","1,913",618,668,670,489,927,265,49,101,12,61,50,1, - ,E6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,26,7,(주)페이워치코리아,,762-88-00917,김리차드에이치,2018-02-02,응용 소프트웨어 개발 및 공급업,22,"서울특별시 용산구 이태원로36길 15 (한남동), 2층","2,167","6,506","7,864","1,670","5,251","1,787",19,207,694,"-2,144","-2,948","-3,226","-2,181","-2,958","-3,466", - ,E5, - ,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,
창업지원부,편람_2025,27,8,(주)퓨쳐앤모어,,105-87-94691,-,2013-11-19,전자카드 제조업,3,"서울 마포구 성암로 330 , 3층 306호(상암동, 디엠씨첨단산업센터)",390,522,709,-63,-10,-48,655,898,"1,517",-108,73,-19,-114,53,-38, - ,E4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,28,9,(주)에스블리스,,150-87-01697,-,2020-06-26,응용 소프트웨어 개발 및 공급업,0,"부산 남구 전포대로 133, 14층 103동 (문현동)",83, - , - ,21, - , - ,285, - , - ,-9, - , - , - , - , - , - ,E8, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
